Tamaño de la matriz,Número de iteraciones,Tiempos LU,Errores LU,Tiempos JMat,Errores JMat,Tiempos GSMat,Errores GSMat,Tiempos JSum,Errores JSum,Tiempos GSSum,Errores GSSum
10,10,1e-06,1.88414e-18,4e-06,22.0261,4e-06,6.60613e-06,1e-06,22.0261,1e-06,1.46271e-06
10,10,1e-06,1.21217e-18,4e-06,22.0399,4e-06,1.17163e-05,1e-06,22.0399,1e-06,1.17163e-05
10,10,1e-06,0,4e-06,9.44055,4e-06,7.55655e-06,1e-06,9.44055,1e-06,7.55655e-06
10,10,1e-06,1.43836e-18,4e-06,15.7295,4e-06,1.39423e-05,1e-06,15.7295,1e-06,3.35282e-06
10,10,1e-06,2.18528e-19,4e-06,18.8873,3e-06,2.62696e-05,1e-06,18.8873,1e-06,6.25643e-07
10,10,1e-06,0,4e-06,9.44055,4e-06,9.48249e-06,0,9.44055,1e-06,2.60622e-06
10,10,1e-06,3.34185e-18,4e-06,3.14232,4e-06,9.89408e-06,1e-06,3.14232,1e-06,9.89408e-06
10,10,1e-06,2.30505e-18,4e-06,0.00657569,3e-06,8.08473e-06,0,0.00657569,1e-06,4.41553e-09
10,10,1e-06,1.46267e-18,4e-06,15.7397,4e-06,6.06795e-06,1e-06,15.7397,1e-06,7.91487e-07
10,10,1e-06,1.48361e-18,4e-06,12.5877,4e-06,1.55873e-05,1e-06,12.5877,1e-06,1.55873e-05
10,10,1e-06,1.13712e-18,4e-06,12.5874,4e-06,2.62561e-05,0,12.5874,1e-06,4.85909e-06
10,10,1e-06,2.67641e-19,4e-06,6.29461,4e-06,5.49917e-06,0,6.29461,1e-06,5.49917e-06
10,10,1e-06,2.02836e-18,4e-06,0.00411198,3e-06,1.50445e-05,1e-06,0.00411198,1e-06,2.37897e-09
10,10,1e-06,5.11417e-19,4e-06,22.0428,4e-06,4.26491e-05,1e-06,22.0428,1e-06,4.26491e-05
10,10,1e-06,0,4e-06,25.1819,4e-06,1.4298e-05,1e-06,25.1819,1e-06,1.4298e-05
10,10,1e-06,1.6901e-18,4e-06,28.3295,4e-06,4.16945e-06,0,28.3295,1e-06,4.16945e-06
10,10,1e-06,2.09394e-18,4e-06,9.43747,4e-06,8.95805e-06,1e-06,9.43747,1e-06,8.95805e-06
10,10,1e-06,4.66333e-19,4e-06,0.00151293,3e-06,6.80399e-06,1e-06,0.00151293,1e-06,9.89106e-10
10,10,1e-06,2.58566e-19,4e-06,18.891,4e-06,1.37275e-05,1e-06,18.891,1e-06,1.37275e-05
10,10,1e-06,8.89112e-19,4e-06,15.7397,4e-06,4.6068e-06,0,15.7397,1e-06,4.6068e-06
