Tamaño de la matriz,Número de Condición,Número de iteraciones,Tiempos LU,Errores LU,Tiempos JMat,Errores JMat,Tiempos GSMat,Errores GSMat,Tiempos JSum,Errores JSum,Tiempos GSSum,Errores GSSum
16,92.4039,25,4e-06,7.51845e-15,1.6e-05,1.2134e+34,1.3e-05,5.28373e+107,5e-06,1.2134e+34,5e-06,5.28373e+107
16,97.8525,25,5e-06,1.25992e-14,1.6e-05,3.60643e+14,1.3e-05,3.40342e+32,5e-06,3.60643e+14,5e-06,3.40342e+32
16,4101.59,25,7e-06,1.03951e-12,2.5e-05,5.70953e+31,2.2e-05,1.19342e+118,9e-06,5.70953e+31,9e-06,1.19342e+118
16,68.084,25,4e-06,8.08259e-15,1.6e-05,5.81464e+28,1.2e-05,1.50273e+105,5e-06,5.81464e+28,5e-06,1.50273e+105
16,106.631,25,4e-06,1.51955e-14,1.6e-05,5.11028e+29,1.2e-05,9.35087e+136,5e-06,5.11028e+29,6e-06,9.35087e+136
16,307.334,25,4e-06,1.20907e-14,1.6e-05,1.83495e+23,1.3e-05,6.95369e+101,5e-06,1.83495e+23,5e-06,6.95369e+101
16,106.929,25,5e-06,2.3704e-14,1.7e-05,4.4424e+27,1.3e-05,5.58222e+93,5e-06,4.4424e+27,5e-06,5.58222e+93
16,75.7634,25,4e-06,5.01754e-15,1.6e-05,3.25458e+27,1.3e-05,1.24678e+113,5e-06,3.25458e+27,5e-06,1.24678e+113
16,1379.28,25,2e-05,4.21083e-13,2.7e-05,2.23249e+40,2.2e-05,inf,1.4e-05,2.23249e+40,1.3e-05,inf
16,10120.1,25,4e-06,0,1.3e-05,0,9e-06,0,0,0,6e-06,0
16,129.928,25,4e-06,6.27303e-14,1.6e-05,2.82563e+19,1.2e-05,3.31164e+80,5e-06,2.82563e+19,5e-06,3.31164e+80
16,79.1575,25,5e-06,2.8148e-14,1.7e-05,1.66201e+27,1.3e-05,2.9548e+89,5e-06,1.66201e+27,5e-06,2.9548e+89
16,106.579,25,1.9e-05,3.0371e-14,1.6e-05,7.10731e+29,1.3e-05,1.63136e+126,5e-06,7.10731e+29,5e-06,1.63136e+126
16,62.7039,25,4e-06,1.23698e-14,1.6e-05,2.50219e+24,1.2e-05,1.60158e+82,5e-06,2.50219e+24,5e-06,1.60158e+82
16,63.5342,25,1e-05,1.2575e-14,2.9e-05,2.51086e+27,2.5e-05,1.01744e+140,1.2e-05,2.51086e+27,1.2e-05,1.01744e+140
16,62.9117,25,4e-06,1.56358e-14,1.6e-05,2.2124e+35,1.2e-05,1.258e+100,5e-06,2.2124e+35,5e-06,1.258e+100
16,56.8632,25,4e-06,1.12199e-14,1.7e-05,1.61102e+29,1.3e-05,7.49566e+130,5e-06,1.61102e+29,5e-06,7.49566e+130
16,182.968,25,4e-06,3.92937e-14,1.6e-05,1.67171e+27,1.2e-05,2.1161e+130,5e-06,1.67171e+27,2e-05,2.1161e+130
16,72.3961,25,4e-06,6.43255e-14,1.6e-05,1.65801e+27,1.3e-05,1.14419e+66,5e-06,1.65801e+27,5e-06,1.14419e+66
16,45.6385,25,5e-06,1.57683e-14,1.6e-05,9.51868e+21,1.3e-05,5.19261e+62,5e-06,9.51868e+21,5e-06,5.19261e+62
